X	2805
W	279
O	8667
U	7133
B	654
S	7216
V	6016
H	965
Z	4821
O	4299
Y	3704
U	6526
R	3942
S	3250
E	4319
K	7847
Y	2607
D	8508
F	2846
Z	4069
J	8086
M	2800
B	5983
P	9819
L	1886
C	9269
W	3862
M	9940
B	2236
U	1748
O	7226
H	5304
C	2785
V	2873
V	9744
D	2562
Q	8987
W	8557
J	2045
G	1875
O	627
T	1173
T	1371
V	8724
T	8625
L	2434
H	3669
J	8253
Z	7284
H	9764
G	8312
V	3186
V	7479
J	5610
Q	421
Z	6078
P	3644
C	3690
F	1386
R	7987
E	5913
R	254
W	5615
Y	4060
Q	1687
Y	5514
D	2988
R	5900
U	1768
C	1746
X	5621
C	1751
X	6529
B	8936
Q	5798
P	6574
F	7820
U	5311
T	3320
V	2880
T	7764
G	7194
L	4036
Z	8468
F	3502
L	9435
Z	8463
D	6826
C	7829
S	7936
J	7954
J	1099
Y	8253
K	5012
Z	1550
X	7078
T	1983
X	8193
T	9958
G	6296
M	2861
G	9270
J	765
C	959
R	8085
Q	5725
G	6790
E	343
W	6851
M	826
I	642
S	2792
V	9025
S	9311
B	7999
S	5354
C	8904
G	9997
J	7253
O	3373
Q	582
Q	518
Z	587
J	7220
E	2893
W	6603
Q	3289
O	2715
L	7011
R	1349
T	9266
Y	4316
L	5069
A	7053
N	4707
O	2091
R	7785
A	4577
U	2676
J	5890
Y	9443
D	2346
Q	5737
S	3414
A	6192
Z	5
Y	3711
N	9001
A	5787
W	5468
P	5389
B	2631
O	6461
C	4142
I	7012
B	7749
W	1914
K	2017
J	1678
M	3812
M	3281
M	8884
N	1804
K	5465
V	3375
P	1443
Q	511
H	3069
F	5808
K	4222
U	9767
T	5749
I	2939
R	5598
B	2153
H	6232
A	2333
M	1334
I	989
Z	1719
G	8229
B	8959
E	7447
A	4648
V	9667
B	2496
K	2385
P	3878
C	4275
N	2653
C	438
M	4484
T	9463
T	8328
U	3861
R	1537
H	1753
Y	1352
G	9654
S	1795
H	7131
E	3430
B	1706
X	2568
Y	7561
V	787
U	6419
M	7360
B	1912
H	5396
Z	3324
C	6095
T	8766
F	8579
M	4298
J	7976
E	1290
A	5783
O	9985
L	6173
D	3698
Y	9838
V	3248
G	5745
D	6369
A	899
M	400
H	2283
D	8651
V	4332
H	8825
W	4101
L	5797
B	5826
G	4544
I	8587
R	783
N	3671
Y	5961
O	7539
O	7667
T	7451
R	7518
S	8941
C	2009
C	7310
D	9918
L	7216
Z	5668
Y	5843
X	6920
X	6483
X	4535
D	3961
T	7007
J	7740
L	6645
B	4333
Z	4049
B	8530
W	5908
D	8623
Q	4036
T	5326
F	6664
K	7534
U	364
Q	4747
S	110
E	3699
J	5268
U	7036
R	68
G	7577
M	728
S	4235
D	4393
W	2826
X	394
R	712
M	1549
Q	996
D	8753
T	5575
H	7974
M	2317
D	5139
A	238
X	4622
X	485
L	2680
V	5469
Z	5003
X	1359
U	9705
L	2551
Z	8127
R	5217
R	1965
L	339
J	7801
I	5717
D	7304
X	8356
W	313
O	8194
Y	9180
D	2995
O	2027
U	5863
T	9598
F	1671
L	4666
G	1463
K	1993
P	4388
T	9189
Z	6610
S	4210
Y	8578
S	5915
E	542
J	4819
I	1082
Q	4937
H	2667
E	3055
F	897
P	1439
O	6680
A	8545
J	5028
K	6290
U	3017
F	2084
K	7809
J	5643
C	9331
O	9464
T	7255
Y	4051
W	1187
K	2290
V	2059
U	4105
R	7798
A	5562
C	3820
D	5261
X	4683
T	3084
W	7950
Y	9745
N	7220
I	3077
J	7479
E	236
B	9395
N	558
O	6229
M	9599
K	3484
I	1522
B	9191
E	9284
P	5759
E	2926
X	3946
I	8161
T	3764
F	6145
D	2037
E	564
V	1560
M	2940
V	4433
S	1324
L	5846
W	325
S	708
J	4186
O	8837
S	6332
M	7646
M	3061
F	1474
X	6381
X	5178
Q	4616
Q	3865
U	3453
F	5440
G	4744
R	3078
D	1517
L	7512
V	8450
U	7651
V	1291
S	3888
Y	5792
C	5560
W	7037
G	8492
U	2100
I	9448
P	4837
B	7221
M	1740
R	1190
P	6649
L	1947
T	2731
C	4596
Y	9045
G	455
L	8119
C	7294
K	5817
I	9491
X	1880
N	3219
R	1957
S	2012
P	2375
A	8112
U	3708
P	8426
T	270
B	8958
E	3311
K	6628
T	5776
B	8339
X	2210
N	1579
G	5604
D	8816
S	2634
Y	2279
I	2461
F	6068
H	1616
I	9362
P	6257
O	7310
W	551
T	3156
X	743
P	2684
X	4242
P	8690
U	5877
I	8397
C	6204
N	2578
V	2969
V	6799
Q	4117
I	8589
E	1361
R	8423
V	6735
X	735
G	6626
Q	3074
K	515
S	9794
I	3749
A	736
U	9913
J	5410
S	7327
J	1777
J	1659
E	642
B	5653
P	2793
J	6230
F	4784
T	1131
O	3436
O	4273
O	6902
H	8335
I	337
K	6946
C	4003
F	3817
L	9593
I	7253
C	2046
W	5130
K	9351
H	9255
I	267
L	7138
C	6900
E	3296
Q	9894
F	5834
Y	5670
S	3848
L	5539
Y	3496
B	935
G	8087
F	3439
S	1787
V	9359
R	3372
M	2480
U	88
J	4537
B	3534
R	7996
B	9622
J	8483
T	4349
T	1097
U	6982
D	373
K	4210
M	105
N	8156
V	6875
B	2101
H	9083
L	5779
M	2686
K	7485
N	3745
A	8983
J	6575
N	7867
E	563
E	6708
N	7778
X	6569
A	3213
N	855
O	7451
N	9867
T	3887
M	4009
O	398
V	6092
P	6278
K	3825
U	6012
G	4226
P	1950
H	1701
E	3528
F	5800
R	8386
U	5660
G	8779
J	9616
F	1639
O	8638
N	6145
Z	6647
U	2617
X	2814
F	4259
W	4533
X	2617
C	7768
F	1442
X	2129
G	1277
Q	4821
U	1727
M	7618
V	574
M	9695
Y	7461
Q	4536
A	9886
B	1777
K	2303
E	149
T	3849
E	9341
N	987
N	5615
R	8484
W	9516
D	1911
E	9041
G	9056
N	7475
D	6947
L	1934
L	5240
S	9628
T	8066
T	653
D	5785
P	5533
F	3058
Y	3082
A	7108
S	5410
D	6258
A	5141
V	9361
X	5458
O	4568
T	104
I	29
C	2370
K	3050
I	8067
D	9078
Q	5161
A	4211
O	888
P	7606
G	2826
R	3471
P	1190
B	9655
O	171
M	9393
I	6894
K	1006
Z	3811
O	2227
T	306
X	3160
S	3306
R	233
D	1683
N	4674
A	6095
L	2738
U	8678
H	4628
D	6503
K	6596
P	5096
J	1319
U	3885
M	9965
J	9268
D	4953
O	9278
A	3649
E	5561
T	9844
C	5155
B	2307
L	5811
R	1313
X	1205
S	6776
K	7050
H	9506
I	4514
X	9613
A	7714
V	5094
G	3435
T	9157
F	3822
V	5165
D	4486
